Station name,Dwell time [s],Arrival [hh:mm],Distance [m],Grade [‰],Radius [m],Speed restriction [km/h],Regeneration max power [kW],AC line,DC line,Diesel mode,Battery mode,Station name
Station 1,0,0,0,0,0,0,0,1,0,0,0,Station 1
Station 2,0,0,400,0,0,400,0,1,0,0,0,
Station 3,0,0,170,15,0,400,0,1,0,0,0,
Station 4,0,0,400,15,0,400,0,1,0,0,0,
Station 5,0,0,400,0,0,100,0,1,0,0,0,
Station 6,0,0,100,-8,0,100,0,1,0,0,0,
Station 7,0,0,170,-8,0,100,0,1,0,0,0,
Station 8,0,0,0,0,0,0,0,0,0,0,0,Station 2
Station 9,0,0,100,0,0,100,0,1,0,0,0,
Station 10,0,0,500,-15,0,100,0,1,0,0,0,
Station 11,0,0,40,-15,500,100,0,1,0,0,0,
Station 12,0,0,148,-15,0,95,0,1,0,0,0,
Station 13,0,0,212,0,500,95,0,1,0,0,0,
Station 14,0,0,10,0,0,95,0,1,0,0,0,
Station 15,0,0,12,0,500,100,0,1,0,0,0,
,,,178,5,0,100,0,1,0,0,0,
,,,220,5,500,100,0,1,0,0,0,
,,,180,10,0,100,0,1,0,0,0,
,,,160,10,0,100,0,1,0,0,0,
,,,40,5,0,100,0,1,0,0,0,
,,,100,5,0,100,0,1,0,0,0,
,,,0,0,0,0,0,0,0,0,0,Station 3
,,,100,5,0,65,0,1,0,0,0,
,,,140,15,450,65,0,1,0,0,0,
,,,260,7,0,65,0,1,0,0,0,
,,,400,7,450,100,0,1,0,0,0,
,,,30,7,0,100,0,1,0,0,0,
,,,370,5,450,100,0,1,0,0,0,
,,,1100,14,0,100,0,1,0,0,0,
,,,600,14,450,120,0,1,0,0,0,
,,,220,14,450,120,0,1,0,0,0,
,,,800,14,0,120,0,1,0,0,0,
,,,480,14,500,120,0,1,0,0,0,
,,,390,14,0,120,0,1,0,0,0,
,,,670,14,1000,120,0,1,0,0,0,
,,,140,0,0,120,0,1,0,0,0,
,,,170,0,0,120,0,1,0,0,0,
,,,230,8,0,120,0,1,0,0,0,
,,,900,0,0,120,0,1,0,0,0,
,,,100,0,0,140,0,1,0,0,0,
,,,100,-11.8,0,140,0,1,0,0,0,
,,,220,-11.8,1000,140,0,1,0,0,0,
,,,160,-11.8,0,140,0,1,0,0,0,
,,,1020,-11.8,1000,140,0,1,0,0,0,
,,,500,0,0,140,0,1,0,0,0,
,,,600,6,1000,140,0,1,0,0,0,
